ond,5,7,9,11,13,15
0,140,192,250,301,359,421
5,314,372,419,480,543,596
7,381,432,508,558,609,-1
9,444,509,569,622,-1,-1
11,510,583,624,-1,-1,-1
13,586,635,-1,-1,-1,-1
15,657,-1,-1,-1,-1,-1
